[2025-08-09 11:51:34,180: INFO: main: logging is implemented]
[2025-08-13 21:42:32,104: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-08-13 21:42:32,106: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-13 21:42:32,107: INFO: common: created directory at: artifacts]
[2025-08-13 21:42:32,108: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-13 21:42:40,167: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-08-13 21:42:40,168: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-13 21:42:40,169: INFO: common: created directory at: artifacts]
[2025-08-13 21:42:40,169: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-13 21:42:42,488: INFO: 1740865185: File is downloaded]
[2025-08-14 12:25:14,661: INFO: main: >>>>>>>>>>>>>>data Ingestion stage<<<<<<<<<<<<<<<<<]
[2025-08-14 12:25:14,662: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-08-14 12:25:14,662: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-14 12:25:14,662: INFO: common: created directory at: artifacts]
[2025-08-14 12:25:14,662: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-14 12:25:17,677: INFO: data_ingestion: File is downloaded]
[2025-08-14 12:25:17,768: INFO: main: stage data Ingestion stage completed]
